Pole,# Cash,$ Cash,# Credit,$ Credit,# Smart Card,$ Smart Card
3RD0101,0.00,0.00,0.00,0.00,0.00,0.00
3RD0102,117.00,143.70,7.00,11.25,0.00,0.00
3RD0103,0.00,0.00,0.00,0.00,0.00,0.00
3RD0104,41.00,28.40,7.00,9.00,0.00,0.00
3RD0105,0.00,0.00,0.00,0.00,0.00,0.00
3RD0106,47.00,31.70,6.00,8.25,0.00,0.00
3RD0107,0.00,0.00,0.00,0.00,0.00,0.00
3RD0108,32.00,25.65,2.00,2.00,0.00,0.00
3RD0109,0.00,0.00,0.00,0.00,0.00,0.00
3RD0110,14.00,11.55,7.00,11.50,0.00,0.00
3RD0111,0.00,0.00,0.00,0.00,0.00,0.00
3RD0112,18.00,10.95,3.00,4.00,0.00,0.00
3RD0113,0.00,0.00,0.00,0.00,0.00,0.00
3RD0114,6.00,3.80,1.00,2.00,0.00,0.00
3RD0115,0.00,0.00,0.00,0.00,0.00,0.00
3RD0116,3.00,2.60,0.00,0.00,0.00,0.00
3RD0117,0.00,0.00,0.00,0.00,0.00,0.00
3RD0118,14.00,10.50,0.00,0.00,0.00,0.00
3RD0119,0.00,0.00,0.00,0.00,0.00,0.00
3RD0120,7.00,6.05,2.00,4.00,0.00,0.00
3RD0121,19.00,13.25,3.00,4.00,0.00,0.00
3RD0122,12.00,6.05,5.00,8.00,0.00,0.00
ARL0320,17.00,15.75,2.00,3.00,0.00,0.00
ARL0321,96.00,36.95,5.00,7.00,0.00,0.00
ARL0322,5.00,3.50,4.00,7.00,0.00,0.00
ARL0323,52.00,31.30,6.00,8.75,0.00,0.00
ARL0324,16.00,15.05,0.00,0.00,0.00,0.00
ARL0325,62.00,54.75,4.00,6.50,0.00,0.00
ARL0326,17.00,12.75,0.00,0.00,0.00,0.00
ARL0327,22.00,13.65,1.00,2.00,0.00,0.00
ARL0328,30.00,15.90,0.00,0.00,0.00,0.00
ARL0329,12.00,8.85,2.00,3.00,0.00,0.00
ARL0330,11.00,6.85,2.00,3.25,0.00,0.00
ARL0331,22.00,10.65,1.00,2.00,0.00,0.00
ARL0332,19.00,10.80,2.00,4.00,0.00,0.00
ARL0333,11.00,7.55,5.00,8.00,0.00,0.00
ARL0334,20.00,12.70,1.00,1.75,0.00,0.00
ARL0335,14.00,13.25,4.00,4.50,0.00,0.00
ARL0336,24.00,15.45,1.00,2.00,0.00,0.00
ARL0337,17.00,16.95,0.00,0.00,0.00,0.00
ARL0338,19.00,11.70,2.00,3.75,0.00,0.00
ARL0339,13.00,9.80,5.00,9.00,0.00,0.00
W40110,378.00,286.90,31.00,44.50,0.00,0.00
W40114,363.00,282.30,38.00,58.75,0.00,0.00
W40118,360.00,277.70,35.00,54.50,0.00,0.00
W40122,360.00,276.40,32.00,47.75,0.00,0.00
W40126,340.00,250.90,25.00,37.25,0.00,0.00
W40130,328.00,257.00,23.00,37.00,0.00,0.00
W40134,271.00,228.10,30.00,39.50,0.00,0.00
W40138,265.00,194.45,33.00,52.00,0.00,0.00
W40142,230.00,166.30,30.00,45.75,0.00,0.00
W40146,156.00,106.30,23.00,34.25,0.00,0.00
W40150,120.00,98.45,21.00,30.75,0.00,0.00
WES0304,203.00,197.15,29.00,43.50,0.00,0.00
WES0306,173.00,129.95,24.00,35.75,0.00,0.00
WES0308,0.00,0.00,0.00,0.00,0.00,0.00
WES0309,129.00,101.25,9.00,13.50,0.00,0.00
WES0310,0.00,0.00,0.00,0.00,0.00,0.00
WES0311,0.00,0.00,0.00,0.00,0.00,0.00
WES0312,0.00,0.00,0.00,0.00,0.00,0.00
WES0313,0.00,0.00,0.00,0.00,0.00,0.00
WES0314,0.00,0.00,0.00,0.00,0.00,0.00
WES0315,99.00,59.60,9.00,14.75,0.00,0.00
WES0316,0.00,0.00,0.00,0.00,0.00,0.00
WES0317,0.00,0.00,0.00,0.00,0.00,0.00
WES0318,0.00,0.00,0.00,0.00,0.00,0.00
WES0319,0.00,0.00,0.00,0.00,0.00,0.00
WES0320,111.00,80.10,31.00,45.75,0.00,0.00
WES0321,112.00,71.95,13.00,19.75,0.00,0.00
